OBJECTID,ID,RUT_EMPRESA_O_PRODUCTOR_MINERO,NOMBRE_EMPRESA_O_PRODUCTOR_MINERO,NOMBRE_FAENA,NOMBRE_INSTALACION,TIPO_DEPOSITO,RECURSO,TIPO_MINERIA,CANTIDAD_MUROS__CONTENCION_,CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA,UTM_NORTE,UTM_ESTE,DATUM,HUSO,LATITUD,LONGITUD,ESTADO_INSTALACION,METODO_CONSTRUCTIVO_MURO,VOL_AUTORIZADO,VOL_ACTUAL,TONELAJE_AUTORIZADO,TONELAJE_ACTUAL,RES_APRUEBA,FECHA_RES_APRUEBA,RES_PDC_APRUEBA,FECHA_RES_PDC
175,"0175-3N",23379984-K,INVERSIONES RAY LTDA.,PLANTA SAN CRISTOBAL,DESCONOCIDO,ACOPIO,COBRE,METÁLICO,,"03","031","03101",Atacama,Copiapó,Copiapó,6962936.2684,370292.7265,WGS84,19S,-27.4509054413213,-70.3125422550668,ABANDONADO,NO APLICA,1125,,1687,,1062,1999/09/22,,
176,"0176-3N",79785390-9,CIA. MINERA SAN ESTEBAN PRIMERA,PLANTA SANTA ESTEBAN (EX SANTA LAURA),SANTA LAURA 1,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6967917.9428,369479.2233,WGS84,19S,-27.4058648674277,-70.3202374861896,ABANDONADO,,1508240,,2262360,,,,,
177,"0177-3N",79785390-9,CIA. MINERA SAN ESTEBAN PRIMERA,PLANTA SANTA ESTEBAN (EX SANTA LAURA),SANTA LAURA 2,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6968273.6291,369408.0168,WGS84,19S,-27.4026477423423,-70.3209194199864,ABANDONADO,,2797710,,4196565,,,,,
178,"0178-3N",79785390-9,CIA. MINERA SAN ESTEBAN PRIMERA,PLANTA SANTA ESTEBAN (EX SANTA LAURA),SANTA LAURA 3,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6968207.5989,369616.4793,WGS84,19S,-27.4032636610436,-70.3188183797033,ABANDONADO,,301886,,452829,,,,,
180,"0180-3N",4768594-K,EXEQUIEL BUGUEÑO,SANTA ROSA,SANTA ROSA 2,EMBALSE,ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6965432.3163,370304.645,WGS84,19S,-27.4283781202574,-70.3121551268084,INACTIVO,,4785,,7177,,,,,
181,"0181-3N",sin rut conocido,SOC. MINERA UNION,PLANTA LA UNION (EX SAN LORENZO),UNION,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6968491.9223,366649.9161,WGS84,19S,-27.4004105512993,-70.348787095619,ABANDONADO,AGUAS ARRIBA,175000,,262500,,1230,1986/12/10,,
182,"0182-3N",sin rut conocido,S. PIZARRO (EX RUBELINDO ALQUINTA),PLANTA ANDACOLLO,ANDACOLLO 1,ACOPIO,ORO,METÁLICO,,"03","031","03101",Atacama,Copiapó,Copiapó,6966487.8141,362838.6154,WGS84,19S,-27.4181203916704,-70.3875539413903,ABANDONADO,NO APLICA,3200,,4800,,,,,
183,"0183-3N",sin rut conocido,S. PIZARRO (EX RUBELINDO ALQUINTA),PLANTA ANDACOLLO,ANDACOLLO 2,ACOPIO,ORO,METÁLICO,,"03","031","03101",Atacama,Copiapó,Copiapó,6966507.8613,362825.5948,WGS84,19S,-27.4179381468949,-70.3876833675604,ABANDONADO,NO APLICA,3200,,4640,,,,,
184,"0184-3N",6239382-3,CARLOS SOTO FUENTEALBA,PLANTA PORVENIR,PORVENIR ,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6969680.367,368503.6104,WGS84,19S,-27.3898641007524,-70.3299134046928,ABANDONADO,EJE CENTRAL,15200,,22800,,69,1987/01/16,402,2005/01/25
185,"0185-3N",6239382-3,CARLOS SOTO FUENTEALBA,PLANTA PORVENIR,PORVENIR SUR,ACOPIO,COBRE,METÁLICO,,"03","031","03101",Atacama,Copiapó,Copiapó,6969495.7582,368456.5006,WGS84,19S,-27.3915257728689,-70.330409698716,ABANDONADO,NO APLICA,8752,,13128,,69,1987/01/16,402,2005/01/25
186,"0186-3N",sin rut conocido,MANUEL ACHU PEREZ,PLANTA CUESTA CARDONES,CUESTA CARDONES 1,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6969831.884,367824.4131,WGS84,19S,-27.3884309243906,-70.3367646359532,ABANDONADO,EJE CENTRAL,5600,,8400,,1085,1986/10/31,,
187,"0187-3N",sin rut conocido,LUIS MORALES,DESCONOCIDO,DESCONOCIDO,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6971988.936,367029.0283,WGS84,19S,-27.3688849175337,-70.3445715911483,ABANDONADO,AGUAS ARRIBA,10637,,15956,,,,,
188,"0188-3N",3738135-7,JORGE SANCHEZ ARAYA,PLANTA PURIFICACION,PURIFICACION 1,TRANQUE DE RELAVE,ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6966531.8193,369981.85,WGS84,19S,-27.4184236005983,-70.3153026076337,ABANDONADO,AGUAS ARRIBA,500,,750,,,,633,1985/07/10
189,"0189-3N",3738135-7,JORGE SANCHEZ ARAYA,PLANTA PURIFICACION,PURIFICACION 2,TRANQUE DE RELAVE,ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6966591.389,369996.4319,WGS84,19S,-27.4178873356795,-70.3151487549127,ABANDONADO,AGUAS ARRIBA,12000,,18000,,,,,
190,"0190-3N",3738135-7,JORGE SANCHEZ ARAYA,PLANTA PURIFICACION,PURIFICACION 3,TRANQUE DE RELAVE,ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6966643.9864,369991.0946,WGS84,19S,-27.4174120996922,-70.315197112903,ABANDONADO,AGUAS ARRIBA,600,,900,,,,,
191,"0191-3N",3738135-7,JORGE SANCHEZ ARAYA,PLANTA PURIFICACION,EMBALSE DE RELAVES,EMBALSE,ORO,METÁLICO,0,"03","031","03101",Atacama,Copiapó,Copiapó,6966542.1511,370090.5845,WGS84,19S,-27.418340721134,-70.314201747615,ABANDONADO,EXCAVACION TERRENO,8308,,12462,,,,,
192,"0192-3N",sin rut conocido,NUÑEZ HNOS,PLANTA LLAUCAVEN,LLAUCAVEN 1,TRANQUE DE RELAVE,ORO-COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6968113.1333,370716.458,WGS84,19S,-27.4042210328751,-70.3077045838074,INACTIVO,AGUAS ARRIBA,33814,,50721,,732,1985/08/06,,
193,"0193-3N",sin rut conocido,NUÑEZ HNOS,PLANTA LLAUCAVEN,LLAUCAVEN 2,TRANQUE DE RELAVE,ORO-COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6968219.0813,370611.6804,WGS84,19S,-27.4032548366737,-70.308752920174,INACTIVO,AGUAS ARRIBA,210795,,316192,,732,1985/08/06,,
194,"0194-3N",sin rut conocido,DELIA NIETO ROBLE,PLANTA TANIA,TANIA,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6968039.4565,370879.4259,WGS84,19S,-27.4049014637362,-70.3060643276974,INACTIVO,AGUAS ARRIBA,4300,,6450,,177,1988/02/05,,
195,"0195-3N",sin rut conocido,DOMINGO GUGGIANA,PLANTA GUGGIANA,GUGGIANA,TRANQUE DE RELAVE,ORO-COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6973619.7959,365971.0537,WGS84,19S,-27.3540619930259,-70.3550879214409,INACTIVO,EJE CENTRAL,71000,,106500,,146,1985/02/01,,
197,"0197-3N",sin rut conocido,VICTOR JENSEN,PLANTA LA FLORIDA,LA FLORIDA 1,TRANQUE DE RELAVE,ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6965688.0675,375059.0082,WGS84,19S,-27.4265142233386,-70.264037615937,INACTIVO,AGUAS ARRIBA,3000,,4500,,567,1986/06/02,,
198,"0198-3N",sin rut conocido,VICTOR JENSEN,PLANTA LA FLORIDA,LA FLORIDA 2,TRANQUE DE RELAVE,ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6965733.3263,375158.1707,WGS84,19S,-27.4261148174614,-70.2630299299777,INACTIVO,AGUAS ARRIBA,2500,,3750,,567,1986/06/02,,
199,"0199-3N",76309389-1,ACIBOL SpA,PLANTA IRMITA,EMBALSE DE RELAVES,EMBALSE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6968000.0265,366302.0182,WGS84,19S,-27.4048161142602,-70.3523592071343,INACTIVO,,280495,212437,420743,318656,349,2013/07/25,,
201,"0201-3N",10642205-2,DANISA REYES ITURRIZAGASTA,AMANDA,AMANDA (EX CHARITO),TRANQUE DE RELAVE,ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6967270.2899,365277.4524,WGS84,19S,-27.4113014909016,-70.3628011689973,ABANDONADO,,14650,,21960,,,,,
229,"0229-3N",5348552-9,HECTOR CASTELLON,PLANTA CASTELLON,CASTELLON,ACOPIO,ORO,METÁLICO,,"03","031","03101",Atacama,Copiapó,Copiapó,6970049.0776,367884.4129,WGS84,19S,-27.3864764269324,-70.3361343959362,ABANDONADO,NO APLICA,20000,,30000,,,,,
